architecture,variant,seed,configuration_id,source_checkpoint_policy,train_split_only_for_updates,validation_only_for_selection,test_evaluation_count,status
tinyml_mlp,B0,42,tinyml_mlp__b0__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,B0,123,tinyml_mlp__b0__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,B0,2026,tinyml_mlp__b0__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,B0,3407,tinyml_mlp__b0__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,B0,8192,tinyml_mlp__b0__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,FP32-FT,42,tinyml_mlp__fp32_ft__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,FP32-FT,123,tinyml_mlp__fp32_ft__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,FP32-FT,2026,tinyml_mlp__fp32_ft__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,FP32-FT,3407,tinyml_mlp__fp32_ft__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,FP32-FT,8192,tinyml_mlp__fp32_ft__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-noFT,42,tinyml_mlp__p25_noft__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-noFT,123,tinyml_mlp__p25_noft__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-noFT,2026,tinyml_mlp__p25_noft__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-noFT,3407,tinyml_mlp__p25_noft__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-noFT,8192,tinyml_mlp__p25_noft__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25,42,tinyml_mlp__p25__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25,123,tinyml_mlp__p25__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25,2026,tinyml_mlp__p25__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25,3407,tinyml_mlp__p25__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25,8192,tinyml_mlp__p25__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-noFT,42,tinyml_mlp__p50_noft__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-noFT,123,tinyml_mlp__p50_noft__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-noFT,2026,tinyml_mlp__p50_noft__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-noFT,3407,tinyml_mlp__p50_noft__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-noFT,8192,tinyml_mlp__p50_noft__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50,42,tinyml_mlp__p50__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50,123,tinyml_mlp__p50__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50,2026,tinyml_mlp__p50__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50,3407,tinyml_mlp__p50__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50,8192,tinyml_mlp__p50__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,DQ,42,tinyml_mlp__dq__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,DQ,123,tinyml_mlp__dq__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,DQ,2026,tinyml_mlp__dq__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,DQ,3407,tinyml_mlp__dq__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,DQ,8192,tinyml_mlp__dq__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,PTQ,42,tinyml_mlp__ptq__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,PTQ,123,tinyml_mlp__ptq__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,PTQ,2026,tinyml_mlp__ptq__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,PTQ,3407,tinyml_mlp__ptq__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,PTQ,8192,tinyml_mlp__ptq__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,QAT,42,tinyml_mlp__qat__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,QAT,123,tinyml_mlp__qat__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,QAT,2026,tinyml_mlp__qat__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,QAT,3407,tinyml_mlp__qat__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,QAT,8192,tinyml_mlp__qat__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-QAT,42,tinyml_mlp__p25_qat__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-QAT,123,tinyml_mlp__p25_qat__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-QAT,2026,tinyml_mlp__p25_qat__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-QAT,3407,tinyml_mlp__p25_qat__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P25-QAT,8192,tinyml_mlp__p25_qat__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-QAT,42,tinyml_mlp__p50_qat__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-QAT,123,tinyml_mlp__p50_qat__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-QAT,2026,tinyml_mlp__p50_qat__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-QAT,3407,tinyml_mlp__p50_qat__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
tinyml_mlp,P50-QAT,8192,tinyml_mlp__p50_qat__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,B0,42,compact_dnn__b0__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,B0,123,compact_dnn__b0__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,B0,2026,compact_dnn__b0__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,B0,3407,compact_dnn__b0__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,B0,8192,compact_dnn__b0__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,FP32-FT,42,compact_dnn__fp32_ft__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,FP32-FT,123,compact_dnn__fp32_ft__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,FP32-FT,2026,compact_dnn__fp32_ft__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,FP32-FT,3407,compact_dnn__fp32_ft__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,FP32-FT,8192,compact_dnn__fp32_ft__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-noFT,42,compact_dnn__p25_noft__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-noFT,123,compact_dnn__p25_noft__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-noFT,2026,compact_dnn__p25_noft__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-noFT,3407,compact_dnn__p25_noft__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25-noFT,8192,compact_dnn__p25_noft__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25,42,compact_dnn__p25__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25,123,compact_dnn__p25__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25,2026,compact_dnn__p25__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25,3407,compact_dnn__p25__seed_3407,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P25,8192,compact_dnn__p25__seed_8192,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50-noFT,42,compact_dnn__p50_noft__seed_42,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50-noFT,123,compact_dnn__p50_noft__seed_123,matching_architecture_seed_B0,True,True,1,planned_not_locked
compact_dnn,P50-noFT,2026,compact_dnn__p50_noft__seed_2026,matching_architecture_seed_B0,True,True,1,planned_not_locked
